Angle,Intensity
5.010866440,3988.0
5.032599320,4045.0
5.054332200,3864.0
5.076065080,3854.0
5.097797960,3875.0
5.119530840,3844.0
5.141263720,3782.0
5.162996600,3766.0
5.184729480,3570.0
5.206462360,3568.0
5.228195240,3545.0
5.249928120,3438.0
5.271661000,3388.0
5.293393880,3524.0
5.315126760,3379.0
5.336859640,3428.0
5.358592520,3317.0
5.380325400,3170.0
5.402058280,3258.0
5.423791160,3151.0
5.445524040,3195.0
5.467256920,3316.0
5.488989800,3199.0
5.510722680,3093.0
5.532455560,3036.0
5.554188440,3085.0
5.575921320,3118.0
5.597654200,3016.0
5.619387080,2910.0
5.641119960,2888.0
5.662852840,2960.0
5.684585720,3010.0
5.706318600,2871.0
5.728051480,2847.0
5.749784360,2784.0
5.771517240,2762.0
5.793250120,2820.0
5.814983000,2728.0
5.836715880,2685.0
5.858448760,2757.0
5.880181640,2728.0
5.901914520,2622.0
5.923647400,2615.0
5.945380280,2592.0
5.967113160,2616.0
5.988846040,2636.0
6.010578920,2674.0
6.032311800,2576.0
6.054044680,2537.0
6.075777560,2567.0
6.097510440,2587.0
6.119243320,2520.0
6.140976200,2468.0
6.162709080,2536.0
6.184441960,2543.0
6.206174840,2537.0
6.227907720,2431.0
6.249640600,2452.0
6.271373480,2438.0
6.293106360,2371.0
6.314839240,2476.0
6.336572120,2332.0
6.358305000,2396.0
6.380037880,2394.0
6.401770760,2339.0
6.423503640,2412.0
6.445236520,2295.0
6.466969400,2320.0
6.488702280,2338.0
6.510435160,2304.0
6.532168040,2296.0
6.553900920,2297.0
6.575633800,2328.0
6.597366680,2381.0
6.619099560,2194.0
6.640832440,2209.0
6.662565320,2272.0
6.684298200,2226.0
6.706031080,2228.0
6.727763960,2208.0
6.749496840,2231.0
6.771229720,2206.0
6.792962600,2154.0
6.814695480,2105.0
6.836428360,2164.0
6.858161240,2198.0
6.879894120,2109.0
6.901627000,2129.0
6.923359880,2095.0
6.945092760,2040.0
6.966825640,2118.0
6.988558520,2139.0
7.010291400,2077.0
7.032024280,2091.0
7.053757160,2065.0
7.075490040,2084.0
7.097222920,2086.0
7.118955800,2057.0
7.140688680,2050.0
7.162421560,2028.0
7.184154440,2009.0
7.205887320,1966.0
7.227620200,2062.0
7.249353080,2074.0
7.271085960,1959.0
7.292818840,2073.0
7.314551720,1999.0
7.336284600,2028.0
7.358017480,1998.0
7.379750360,1955.0
7.401483240,1835.0
7.423216120,2020.0
7.444949000,1922.0
7.466681880,1845.0
7.488414760,1905.0
7.510147640,1883.0
7.531880520,1845.0
7.553613400,1904.0
7.575346280,1867.0
7.597079160,1856.0
7.618812040,1958.0
7.640544920,1936.0
7.662277800,1852.0
7.684010680,1865.0
7.705743560,1840.0
7.727476440,1860.0
7.749209320,1950.0
7.770942200,1892.0
7.792675080,1843.0
7.814407960,1879.0
7.836140840,1802.0
7.857873720,1814.0
7.879606600,1815.0
7.901339480,1849.0
7.923072360,1934.0
7.944805240,1810.0
7.966538120,1755.0
7.988271000,1828.0
8.010003880,1762.0
8.031736760,1808.0
8.053469640,1903.0
8.075202520,1811.0
8.096935400,1748.0
8.118668280,1705.0
8.140401160,1856.0
8.162134040,1763.0
8.183866920,1813.0
8.205599800,1750.0
8.227332680,1817.0
8.249065560,1728.0
8.270798440,1765.0
8.292531320,1773.0
8.314264200,1752.0
8.335997080,1774.0
8.357729960,1727.0
8.379462840,1807.0
8.401195720,1757.0
8.422928600,1783.0
8.444661480,1659.0
8.466394360,1735.0
8.488127240,1678.0
8.509860120,1704.0
8.531593000,1702.0
8.553325880,1692.0
8.575058760,1703.0
8.596791640,1685.0
8.618524520,1710.0
8.640257400,1806.0
8.661990280,1718.0
8.683723160,1719.0
8.705456040,1697.0
8.727188920,1672.0
8.748921800,1672.0
8.770654680,1699.0
8.792387560,1682.0
8.814120440,1717.0
8.835853320,1657.0
8.857586200,1669.0
8.879319080,1663.0
8.901051960,1697.0
8.922784840,1635.0
8.944517720,1630.0
8.966250600,1731.0
8.987983480,1693.0
9.009716360,1722.0
9.031449240,1630.0
9.053182120,1666.0
9.074915000,1650.0
9.096647880,1610.0
9.118380760,1682.0
9.140113640,1676.0
9.161846520,1636.0
9.183579400,1724.0
9.205312280,1607.0
9.227045160,1748.0
9.248778040,1682.0
9.270510920,1642.0
9.292243800,1724.0
9.313976680,1688.0
9.335709560,1701.0
9.357442440,1735.0
9.379175320,1659.0
9.400908200,1602.0
9.422641080,1666.0
9.444373960,1646.0
9.466106840,1588.0
9.487839720,1702.0
9.509572600,1637.0
9.531305480,1678.0
9.553038360,1730.0
9.574771240,1609.0
9.596504120,1629.0
9.618237000,1694.0
9.639969880,1662.0
9.661702760,1717.0
9.683435640,1763.0
9.705168520,1726.0
9.726901400,1750.0
9.748634280,1651.0
9.770367160,1696.0
9.792100040,1674.0
9.813832920,1722.0
9.835565800,1778.0
9.857298680,1690.0
9.879031560,1754.0
9.900764440,1679.0
9.922497320,1653.0
9.944230200,1740.0
9.965963080,1653.0
9.987695960,1727.0
10.009428840,1607.0
10.031161720,1673.0
10.052894600,1687.0
10.074627480,1734.0
10.096360360,1719.0
10.118093240,1698.0
10.139826120,1707.0
10.161559000,1697.0
10.183291880,1715.0
10.205024760,1670.0
10.226757640,1678.0
10.248490520,1736.0
10.270223400,1707.0
10.291956280,1732.0
10.313689160,1736.0
10.335422040,1734.0
10.357154920,1771.0
10.378887800,1749.0
10.400620680,1654.0
10.422353560,1722.0
10.444086440,1727.0
10.465819320,1729.0
10.487552200,1728.0
10.509285080,1766.0
10.531017960,1733.0
10.552750840,1712.0
10.574483720,1693.0
10.596216600,1767.0
10.617949480,1744.0
10.639682360,1737.0
10.661415240,1703.0
10.683148120,1690.0
10.704881000,1717.0
10.726613880,1742.0
10.748346760,1783.0
10.770079640,1751.0
10.791812520,1738.0
10.813545400,1724.0
10.835278280,1745.0
10.857011160,1704.0
10.878744040,1772.0
10.900476920,1823.0
10.922209800,1812.0
10.943942680,1780.0
10.965675560,1720.0
10.987408440,1686.0
11.009141320,1791.0
11.030874200,1860.0
11.052607080,1754.0
11.074339960,1771.0
11.096072840,1783.0
11.117805720,1760.0
11.139538600,1784.0
11.161271480,1784.0
11.183004360,1695.0
11.204737240,1763.0
11.226470120,1800.0
11.248203000,1872.0
11.269935880,1734.0
11.291668760,1805.0
11.313401640,1788.0
11.335134520,1799.0
11.356867400,1716.0
11.378600280,1812.0
11.400333160,1760.0
11.422066040,1829.0
11.443798920,1841.0
11.465531800,1797.0
11.487264680,1821.0
11.508997560,1792.0
11.530730440,1797.0
11.552463320,1751.0
11.574196200,1783.0
11.595929080,1840.0
11.617661960,1758.0
11.639394840,1824.0
11.661127720,1867.0
11.682860600,1826.0
11.704593480,1789.0
11.726326360,1811.0
11.748059240,1761.0
11.769792120,1877.0
11.791525000,1839.0
11.813257880,1734.0
11.834990760,1845.0
11.856723640,1856.0
11.878456520,1845.0
11.900189400,1813.0
11.921922280,1856.0
11.943655160,1800.0
11.965388040,1756.0
11.987120920,1725.0
12.008853800,1852.0
12.030586680,1783.0
12.052319560,1725.0
12.074052440,1820.0
12.095785320,1762.0
12.117518200,1799.0
12.139251080,1891.0
12.160983960,1908.0
12.182716840,1819.0
12.204449720,1878.0
12.226182600,1886.0
12.247915480,1882.0
12.269648360,1755.0
12.291381240,1829.0
12.313114120,1835.0
12.334847000,1842.0
12.356579880,1844.0
12.378312760,1829.0
12.400045640,1896.0
12.421778520,1744.0
12.443511400,1862.0
12.465244280,1788.0
12.486977160,1860.0
12.508710040,1881.0
12.530442920,1853.0
12.552175800,1860.0
12.573908680,1821.0
12.595641560,1913.0
12.617374440,1859.0
12.639107320,1835.0
12.660840200,1806.0
12.682573080,1791.0
12.704305960,1793.0
12.726038840,1824.0
12.747771720,1898.0
12.769504600,1839.0
12.791237480,1751.0
12.812970360,1796.0
12.834703240,1774.0
12.856436120,1844.0
12.878169000,1817.0
12.899901880,1863.0
12.921634760,1815.0
12.943367640,1867.0
12.965100520,1814.0
12.986833400,1808.0
13.008566280,1784.0
13.030299160,1746.0
13.052032040,1897.0
13.073764920,1805.0
13.095497800,1882.0
13.117230680,1873.0
13.138963560,1870.0
13.160696440,1784.0
13.182429320,1861.0
13.204162200,1876.0
13.225895080,1820.0
13.247627960,1809.0
13.269360840,1805.0
13.291093720,1874.0
13.312826600,1916.0
13.334559480,1862.0
13.356292360,1791.0
13.378025240,1762.0
13.399758120,1854.0
13.421491000,1847.0
13.443223880,1796.0
13.464956760,1817.0
13.486689640,1835.0
13.508422520,1828.0
13.530155400,1825.0
13.551888280,1827.0
13.573621160,1798.0
13.595354040,1831.0
13.617086920,1819.0
13.638819800,1722.0
13.660552680,1809.0
13.682285560,1824.0
13.704018440,1826.0
13.725751320,1804.0
13.747484200,1923.0
13.769217080,1801.0
13.790949960,1855.0
13.812682840,1820.0
13.834415720,1762.0
13.856148600,1854.0
13.877881480,1891.0
13.899614360,1820.0
13.921347240,1820.0
13.943080120,1889.0
13.964813000,1877.0
13.986545880,1822.0
14.008278760,1713.0
14.030011640,1839.0
14.051744520,1769.0
14.073477400,1808.0
14.095210280,1870.0
14.116943160,1749.0
14.138676040,1777.0
14.160408920,1806.0
14.182141800,1841.0
14.203874680,1838.0
14.225607560,1751.0
14.247340440,1835.0
14.269073320,1885.0
14.290806200,1840.0
14.312539080,1801.0
14.334271960,1813.0
14.356004840,1871.0
14.377737720,1778.0
14.399470600,1843.0
14.421203480,1847.0
14.442936360,1742.0
14.464669240,1799.0
14.486402120,1826.0
14.508135000,1849.0
14.529867880,1728.0
14.551600760,1794.0
14.573333640,1795.0
14.595066520,1828.0
14.616799400,1834.0
14.638532280,1807.0
14.660265160,1772.0
14.681998040,1799.0
14.703730920,1831.0
14.725463800,1871.0
14.747196680,1821.0
14.768929560,1788.0
14.790662440,1779.0
14.812395320,1717.0
14.834128200,1792.0
14.855861080,1782.0
14.877593960,1797.0
14.899326840,1808.0
14.921059720,1853.0
14.942792600,1903.0
14.964525480,1836.0
14.986258360,1743.0
15.007991240,1804.0
15.029724120,1777.0
15.051457000,1752.0
15.073189880,1774.0
15.094922760,1808.0
15.116655640,1915.0
15.138388520,1801.0
15.160121400,1777.0
15.181854280,1796.0
15.203587160,1781.0
15.225320040,1785.0
15.247052920,1869.0
15.268785800,1778.0
15.290518680,1934.0
15.312251560,1787.0
15.333984440,1821.0
15.355717320,1786.0
15.377450200,1805.0
15.399183080,1876.0
15.420915960,1849.0
15.442648840,1875.0
15.464381720,1722.0
15.486114600,1860.0
15.507847480,1839.0
15.529580360,1812.0
15.551313240,1759.0
15.573046120,1770.0
15.594779000,1773.0
15.616511880,1770.0
15.638244760,1839.0
15.659977640,1819.0
15.681710520,1800.0
15.703443400,1819.0
15.725176280,1801.0
15.746909160,1831.0
15.768642040,1851.0
15.790374920,1868.0
15.812107800,1852.0
15.833840680,1777.0
15.855573560,1839.0
15.877306440,1822.0
15.899039320,1846.0
15.920772200,1805.0
15.942505080,1840.0
15.964237960,1792.0
15.985970840,1788.0
16.007703720,1872.0
16.029436600,1862.0
16.051169480,1839.0
16.072902360,1857.0
16.094635240,1811.0
16.116368120,1870.0
16.138101000,1846.0
16.159833880,1789.0
16.181566760,1810.0
16.203299640,1802.0
16.225032520,1877.0
16.246765400,1810.0
16.268498280,1768.0
16.290231160,1861.0
16.311964040,1766.0
16.333696920,1837.0
16.355429800,1772.0
16.377162680,1763.0
16.398895560,1818.0
16.420628440,1739.0
16.442361320,1795.0
16.464094200,1819.0
16.485827080,1813.0
16.507559960,1802.0
16.529292840,1798.0
16.551025720,1882.0
16.572758600,1805.0
16.594491480,1735.0
16.616224360,1802.0
16.637957240,1859.0
16.659690120,1827.0
16.681423000,1762.0
16.703155880,1805.0
16.724888760,1749.0
16.746621640,1829.0
16.768354520,1844.0
16.790087400,1713.0
16.811820280,1758.0
16.833553160,1818.0
16.855286040,1799.0
16.877018920,1823.0
16.898751800,1744.0
16.920484680,1759.0
16.942217560,1807.0
16.963950440,1800.0
16.985683320,1809.0
17.007416200,1730.0
17.029149080,1732.0
17.050881960,1776.0
17.072614840,1789.0
17.094347720,1745.0
17.116080600,1708.0
17.137813480,1794.0
17.159546360,1785.0
17.181279240,1759.0
17.203012120,1782.0
17.224745000,1778.0
17.246477880,1796.0
17.268210760,1813.0
17.289943640,1759.0
17.311676520,1696.0
17.333409400,1814.0
17.355142280,1821.0
17.376875160,1790.0
17.398608040,1813.0
17.420340920,1810.0
17.442073800,1795.0
17.463806680,1700.0
17.485539560,1747.0
17.507272440,1751.0
17.529005320,1841.0
17.550738200,1872.0
17.572471080,1784.0
17.594203960,1785.0
17.615936840,1731.0
17.637669720,1821.0
17.659402600,1773.0
17.681135480,1775.0
17.702868360,1856.0
17.724601240,1697.0
17.746334120,1798.0
17.768067000,1764.0
17.789799880,1766.0
17.811532760,1786.0
17.833265640,1825.0
17.854998520,1787.0
17.876731400,1724.0
17.898464280,1829.0
17.920197160,1762.0
17.941930040,1824.0
17.963662920,1747.0
17.985395800,1738.0
18.007128680,1777.0
18.028861560,1719.0
18.050594440,1720.0
18.072327320,1695.0
18.094060200,1737.0
18.115793080,1739.0
18.137525960,1778.0
18.159258840,1711.0
18.180991720,1776.0
18.202724600,1765.0
18.224457480,1764.0
18.246190360,1779.0
18.267923240,1724.0
18.289656120,1745.0
18.311389000,1720.0
18.333121880,1664.0
18.354854760,1817.0
18.376587640,1807.0
18.398320520,1756.0
18.420053400,1739.0
18.441786280,1656.0
18.463519160,1724.0
18.485252040,1739.0
18.506984920,1728.0
18.528717800,1727.0
18.550450680,1703.0
18.572183560,1709.0
18.593916440,1765.0
18.615649320,1841.0
18.637382200,1753.0
18.659115080,1739.0
18.680847960,1774.0
18.702580840,1847.0
18.724313720,1711.0
18.746046600,1724.0
18.767779480,1813.0
18.789512360,1790.0
18.811245240,1787.0
18.832978120,1814.0
18.854711000,1753.0
18.876443880,1795.0
18.898176760,1879.0
18.919909640,1830.0
18.941642520,1755.0
18.963375400,1836.0
18.985108280,1802.0
19.006841160,1789.0
19.028574040,1810.0
19.050306920,1801.0
19.072039800,1753.0
19.093772680,1655.0
19.115505560,1775.0
19.137238440,1754.0
19.158971320,1732.0
19.180704200,1809.0
19.202437080,1807.0
19.224169960,1725.0
19.245902840,1836.0
19.267635720,1847.0
19.289368600,1764.0
19.311101480,1759.0
19.332834360,1781.0
19.354567240,1719.0
19.376300120,1812.0
19.398033000,1799.0
19.419765880,1761.0
19.441498760,1773.0
19.463231640,1888.0
19.484964520,1864.0
19.506697400,1774.0
19.528430280,1758.0
19.550163160,1821.0
19.571896040,1833.0
19.593628920,1839.0
19.615361800,1812.0
19.637094680,1830.0
19.658827560,1776.0
19.680560440,1797.0
19.702293320,1761.0
19.724026200,1802.0
19.745759080,1839.0
19.767491960,1756.0
19.789224840,1770.0
19.810957720,1803.0
19.832690600,1750.0
19.854423480,1830.0
19.876156360,1860.0
19.897889240,1846.0
19.919622120,1748.0
19.941355000,1716.0
19.963087880,1829.0
19.984820760,1832.0
20.006553640,1746.0
