Angle,Intensity
5.010866440,2949.0
5.032599320,2985.0
5.054332200,2951.0
5.076065080,2951.0
5.097797960,2858.0
5.119530840,2951.0
5.141263720,2918.0
5.162996600,2899.0
5.184729480,2898.0
5.206462360,2862.0
5.228195240,2855.0
5.249928120,2836.0
5.271661000,2967.0
5.293393880,2790.0
5.315126760,2831.0
5.336859640,2725.0
5.358592520,2708.0
5.380325400,2726.0
5.402058280,2607.0
5.423791160,2716.0
5.445524040,2653.0
5.467256920,2694.0
5.488989800,2590.0
5.510722680,2588.0
5.532455560,2554.0
5.554188440,2621.0
5.575921320,2536.0
5.597654200,2464.0
5.619387080,2535.0
5.641119960,2516.0
5.662852840,2485.0
5.684585720,2407.0
5.706318600,2491.0
5.728051480,2414.0
5.749784360,2470.0
5.771517240,2546.0
5.793250120,2446.0
5.814983000,2330.0
5.836715880,2441.0
5.858448760,2420.0
5.880181640,2370.0
5.901914520,2388.0
5.923647400,2395.0
5.945380280,2431.0
5.967113160,2414.0
5.988846040,2360.0
6.010578920,2355.0
6.032311800,2308.0
6.054044680,2407.0
6.075777560,2323.0
6.097510440,2366.0
6.119243320,2326.0
6.140976200,2272.0
6.162709080,2336.0
6.184441960,2266.0
6.206174840,2290.0
6.227907720,2292.0
6.249640600,2231.0
6.271373480,2205.0
6.293106360,2208.0
6.314839240,2348.0
6.336572120,2229.0
6.358305000,2340.0
6.380037880,2309.0
6.401770760,2277.0
6.423503640,2240.0
6.445236520,2222.0
6.466969400,2155.0
6.488702280,2201.0
6.510435160,2232.0
6.532168040,2187.0
6.553900920,2247.0
6.575633800,2168.0
6.597366680,2149.0
6.619099560,2234.0
6.640832440,2162.0
6.662565320,2152.0
6.684298200,2233.0
6.706031080,2119.0
6.727763960,2100.0
6.749496840,2140.0
6.771229720,2104.0
6.792962600,2105.0
6.814695480,2130.0
6.836428360,2130.0
6.858161240,2091.0
6.879894120,2072.0
6.901627000,2088.0
6.923359880,2040.0
6.945092760,2132.0
6.966825640,2066.0
6.988558520,2102.0
7.010291400,2117.0
7.032024280,2054.0
7.053757160,2059.0
7.075490040,2092.0
7.097222920,2078.0
7.118955800,2006.0
7.140688680,2115.0
7.162421560,2056.0
7.184154440,2063.0
7.205887320,2000.0
7.227620200,2057.0
7.249353080,2052.0
7.271085960,1983.0
7.292818840,2013.0
7.314551720,2005.0
7.336284600,1981.0
7.358017480,1947.0
7.379750360,1966.0
7.401483240,2042.0
7.423216120,2011.0
7.444949000,2070.0
7.466681880,1965.0
7.488414760,2002.0
7.510147640,2033.0
7.531880520,1978.0
7.553613400,1875.0
7.575346280,2035.0
7.597079160,1985.0
7.618812040,1953.0
7.640544920,1968.0
7.662277800,1918.0
7.684010680,2011.0
7.705743560,1898.0
7.727476440,2015.0
7.749209320,1899.0
7.770942200,1979.0
7.792675080,1891.0
7.814407960,1896.0
7.836140840,1931.0
7.857873720,1945.0
7.879606600,1945.0
7.901339480,1969.0
7.923072360,1937.0
7.944805240,1938.0
7.966538120,1834.0
7.988271000,1954.0
8.010003880,1857.0
8.031736760,1910.0
8.053469640,1899.0
8.075202520,1900.0
8.096935400,1959.0
8.118668280,1842.0
8.140401160,1877.0
8.162134040,1844.0
8.183866920,1866.0
8.205599800,1843.0
8.227332680,1902.0
8.249065560,1860.0
8.270798440,1842.0
8.292531320,1884.0
8.314264200,1856.0
8.335997080,1900.0
8.357729960,1848.0
8.379462840,1958.0
8.401195720,1828.0
8.422928600,1829.0
8.444661480,1812.0
8.466394360,1808.0
8.488127240,1809.0
8.509860120,1850.0
8.531593000,1816.0
8.553325880,1786.0
8.575058760,1833.0
8.596791640,1838.0
8.618524520,1818.0
8.640257400,1847.0
8.661990280,1821.0
8.683723160,1769.0
8.705456040,1785.0
8.727188920,1787.0
8.748921800,1771.0
8.770654680,1802.0
8.792387560,1809.0
8.814120440,1822.0
8.835853320,1797.0
8.857586200,1814.0
8.879319080,1790.0
8.901051960,1767.0
8.922784840,1814.0
8.944517720,1765.0
8.966250600,1818.0
8.987983480,1757.0
9.009716360,1718.0
9.031449240,1777.0
9.053182120,1808.0
9.074915000,1814.0
9.096647880,1730.0
9.118380760,1789.0
9.140113640,1752.0
9.161846520,1730.0
9.183579400,1836.0
9.205312280,1801.0
9.227045160,1725.0
9.248778040,1753.0
9.270510920,1769.0
9.292243800,1764.0
9.313976680,1717.0
9.335709560,1755.0
9.357442440,1786.0
9.379175320,1799.0
9.400908200,1739.0
9.422641080,1721.0
9.444373960,1711.0
9.466106840,1722.0
9.487839720,1767.0
9.509572600,1760.0
9.531305480,1732.0
9.553038360,1775.0
9.574771240,1769.0
9.596504120,1716.0
9.618237000,1839.0
9.639969880,1843.0
9.661702760,1794.0
9.683435640,1786.0
9.705168520,1777.0
9.726901400,1733.0
9.748634280,1769.0
9.770367160,1721.0
9.792100040,1774.0
9.813832920,1805.0
9.835565800,1739.0
9.857298680,1755.0
9.879031560,1795.0
9.900764440,1800.0
9.922497320,1733.0
9.944230200,1820.0
9.965963080,1787.0
9.987695960,1661.0
10.009428840,1728.0
10.031161720,1810.0
10.052894600,1762.0
10.074627480,1738.0
10.096360360,1798.0
10.118093240,1723.0
10.139826120,1826.0
10.161559000,1831.0
10.183291880,1751.0
10.205024760,1776.0
10.226757640,1797.0
10.248490520,1733.0
10.270223400,1752.0
10.291956280,1742.0
10.313689160,1780.0
10.335422040,1777.0
10.357154920,1816.0
10.378887800,1734.0
10.400620680,1794.0
10.422353560,1758.0
10.444086440,1697.0
10.465819320,1682.0
10.487552200,1775.0
10.509285080,1769.0
10.531017960,1812.0
10.552750840,1794.0
10.574483720,1707.0
10.596216600,1756.0
10.617949480,1796.0
10.639682360,1749.0
10.661415240,1846.0
10.683148120,1688.0
10.704881000,1778.0
10.726613880,1840.0
10.748346760,1735.0
10.770079640,1818.0
10.791812520,1810.0
10.813545400,1806.0
10.835278280,1804.0
10.857011160,1766.0
10.878744040,1761.0
10.900476920,1858.0
10.922209800,1715.0
10.943942680,1753.0
10.965675560,1772.0
10.987408440,1756.0
11.009141320,1774.0
11.030874200,1799.0
11.052607080,1775.0
11.074339960,1782.0
11.096072840,1805.0
11.117805720,1782.0
11.139538600,1767.0
11.161271480,1833.0
11.183004360,1722.0
11.204737240,1819.0
11.226470120,1769.0
11.248203000,1855.0
11.269935880,1763.0
11.291668760,1739.0
11.313401640,1769.0
11.335134520,1843.0
11.356867400,1802.0
11.378600280,1808.0
11.400333160,1782.0
11.422066040,1712.0
11.443798920,1824.0
11.465531800,1799.0
11.487264680,1842.0
11.508997560,1786.0
11.530730440,1812.0
11.552463320,1781.0
11.574196200,1811.0
11.595929080,1847.0
11.617661960,1776.0
11.639394840,1802.0
11.661127720,1832.0
11.682860600,1805.0
11.704593480,1776.0
11.726326360,1805.0
11.748059240,1759.0
11.769792120,1802.0
11.791525000,1789.0
11.813257880,1786.0
11.834990760,1789.0
11.856723640,1824.0
11.878456520,1741.0
11.900189400,1795.0
11.921922280,1756.0
11.943655160,1780.0
11.965388040,1864.0
11.987120920,1712.0
12.008853800,1820.0
12.030586680,1794.0
12.052319560,1763.0
12.074052440,1869.0
12.095785320,1878.0
12.117518200,1827.0
12.139251080,1818.0
12.160983960,1844.0
12.182716840,1894.0
12.204449720,1882.0
12.226182600,1890.0
12.247915480,1872.0
12.269648360,1871.0
12.291381240,1844.0
12.313114120,1876.0
12.334847000,1869.0
12.356579880,1918.0
12.378312760,1960.0
12.400045640,1956.0
12.421778520,1970.0
12.443511400,2003.0
12.465244280,1946.0
12.486977160,1889.0
12.508710040,1966.0
12.530442920,1994.0
12.552175800,1991.0
12.573908680,1952.0
12.595641560,2039.0
12.617374440,2016.0
12.639107320,2053.0
12.660840200,1990.0
12.682573080,2112.0
12.704305960,2011.0
12.726038840,2039.0
12.747771720,2143.0
12.769504600,2185.0
12.791237480,2166.0
12.812970360,2193.0
12.834703240,2205.0
12.856436120,2083.0
12.878169000,2118.0
12.899901880,2097.0
12.921634760,2043.0
12.943367640,2014.0
12.965100520,2032.0
12.986833400,2023.0
13.008566280,1941.0
13.030299160,1956.0
13.052032040,1958.0
13.073764920,1944.0
13.095497800,1863.0
13.117230680,1905.0
13.138963560,1836.0
13.160696440,1881.0
13.182429320,1832.0
13.204162200,1886.0
13.225895080,1774.0
13.247627960,1858.0
13.269360840,1773.0
13.291093720,1824.0
